Number;ID;Contract Address;Symbol;Name;Scam;Scam Boolean
1;DET-001;0xD06f85E8dEAE699125096db83Ba962917b00D615;D-STAR;Starcatchers Deck;no;0
2;DET-002;0x052073dFaD6154A9f9507B3cC319C3e5A31D7C7d;SHIBANA;Shibana;yes;1
3;DET-003;0x38cCfB2DDBC6368D652dBEa568CF9b8a1e2eE929;EDGE;EDGE;yes;1
4;DET-004;0x75d8aeC6ebCAA061A553633d56DEB4F6fE8E62dc;$ENCRYPT;ENCRYPT;yes;1
5;DET-005;0xDA1935A3e9Ab282EF79AAA7D03AE4b8359D6e8cd;HOUR;Hourglass;yes;1
6;DET-006;0x4dd0a9Ef34d1461943e36e6BbEaD3621EF454A4F;JACK;jack sparroge;yes;1
7;DET-007;0x65b8bE5d8Acef2Fc5823287B8bc3c86887EBE137;Nintendo;Nintendo Metaverse;yes;1
8;DET-008;0xF261b4faB6e1A7Ba93A7E2B6Bf6a6f28f1699f04;MANGO;ManGo;yes;1
9;DET-009;0x9258cE7Eeb238de67343688bB918FdA0B8A03cF2;CHIZURU;Chizuru Kagura Inu;yes;1
10;DET-010;0x559FEb31b546472AF94115Ae25Af46900C7373BB;BELL;Metal Clock;yes;1
11;DET-011;0xf92A1F2AD0b9A660021f11b09F973F2d066fA697;BoK;Bank Of Kakuan;yes;1
12;DET-012;0x3079cEF8a0dbF88b80eF670006df271dF016B747;DLUNA;DAO Luna;yes;1
13;DET-013;0x9a9bFC3488F213E2C8D2B63AaCe896FbC19E885D;KATA;KATATSUMURIINU;no;0
14;DET-014;0xa098C585D46c0b6C89b749158FBa95dC606b830f;OKAY;OKAY;no;0
15;DET-015;0x678878f96742Ed6500641c2cF2c13D903C2fe512;NIU;Cathing the Bull;no;0
16;DET-016;0x02895bE3B74984cdB24fBdA4cc275E49E8f26750;BABUAN;Bears;yes;1
17;DET-017;0x74d856097acF814EA3FC4D5f5EAF42Ab03b6a38a;SHIBWELLY;ShibWelly;yes;1
18;DET-018;0x7dd16c53F723F474f1538c405F99427856D74Cac;CHIKUWA;Chikuwa Inu ;yes;1
19;DET-019;0xFff05D839b399EF1Cf5E485B9695c39dA11698bb;MIN;MINFT;yes;1
20;DET-020;0xCD582677F3d7392CAdb0762486a9b41a3D414504;SNTS;Shiniutusong;yes;1
21;DET-021;0x4d16D0C7C022ea54c8a86CA93CB1442861755fF8;SMB;SaveMyBags;yes;1
22;DET-022;0x3A11cbF3050364448D59fA5315e74A83562bA410;EPIC;Epic Animations;yes;1
23;DET-023;0x833Dc0467FC01527f253dd75e7eDaf5211f7E6fC;HARUHI;Mommy Haruhi;yes;1
24;DET-024;0xEef0a252a2646F158361A540608F8eA82CaeFaFD;$ELIZABETH;ELIZABETH INU;yes;1
25;DET-025;0xeDE93946cE62a6ED77cF46a4Db2bD1937d7a916b;XIONG;Bashing the Bear;yes;1
26;DET-026;0xce021DCC066fC767dEff980609B56012F80989ab;TRIP;Strange Trip;yes;1
27;DET-027;0x866889fDBA07D4F044419e6a99710938F2268690;TOUR;The Weirdest Tour;yes;1
28;DET-028;0xA23F58BA2a42C1B004B46599957c7D0a332427ab;$ENCRYPT;ENCRYPT;yes;1
29;DET-029;0x7273447871010c6eb8f908F4fBb4bC62b43bCf37;SHIKO;Shikoku Inu;yes;1
30;DET-030;0xbd8fDd12E8E8CFeb377B720b88E8D4D5c6129299;INU;Riding the Bull;yes;1
31;DET-031;0x3F4C82C765D27761459ED92E81349fcAab9C406e;DOGEAZON;Dogeazon;yes;1
32;DET-032;0x4DE3B4C83ED659e80962519F805363C07FDdCE25;JIREN;Jiren Inu;yes;1
33;DET-033;0x491965ec0837092039550E96Ca6A46Fdaf9d3Ca3;TOMMY;TOMMYscanbot;yes;1
34;DET-034;0xf6400233e0C2997E5d916AF32AAD0B155479eC93;BBBI;BobbyBuyBotInu;yes;1
35;DET-035;0xBCde3b2D6f85311a4b718dDB5c9F0B99989D094d;AARDMAN;Aardman Animations Metaverse ;yes;1
36;DET-036;0x715f68c645989a1F00e5ac9E1Bb3Af27c16A7A6a;HOTGIRLINU;HOTGIRL INU;yes;1
37;DET-037;0xD660F2Ad09328A3A4acF6506905c8482B5165Cce;DaoLUNA;DAO Luna;yes;1
38;DET-038;0x2e7F0E8E28097930dDCa94F273502C2dC56d28ba;PUNJABI;Punjabi Jeet Bot;yes;1
39;DET-039;0xbb3e56CF6a7A5eB26E9F2B89167B8896127f0567;LUFFYINU;Luffy Inu;no;0
40;DET-040;0xbC36CEc796cE6373B1B85d48Ef0ab6201bB635ED;BITCH;Bitch Inu;yes;1
41;DET-041;0x37D66fF3bB84bd9f63684eb8999fFbEDb1213172;TREE;TreeCoin;yes;1
42;DET-042;0x03ae79862b5657c19Cfc750fcE6B0bB5A0FD9A29;CVCW;CVCW;yes;1
43;DET-043;0xB20B053A42eB0aB3B7902d0492E1d9107a618360;SPIDERSHIBA;SpiderShiba;no;0
44;DET-044;0x8a9892243fF8E816e824147A47B01863B237d414;WCI;World Cup Inu;yes;1
45;DET-045;0x47D55097a18e17D46d0ACD242709f825E7991c2F;AKENO ;Mommy Akeno ;yes;1
46;DET-046;0xc233EeA0ED2c211E3E36d9D8673653466959a5c5;GENOS;GENOSama;yes;1
47;DET-047;0xE9D0e00487EAf8D4068256755BdefD78D8Cf695E;TONAKI;Tonaki Inu;yes;1
48;DET-048;0x2aF18645733BC5Fa2e25365d7fc1d3a766D49a4D;$TONYTIGER;Tony The Tiger;yes;1
49;DET-049;0x6E9f34ce62b906DdF6AFe0DCA5BFe2Da12cF4164;SOSA;Sosa Inu;yes;1
50;DET-050;0xa543497dbD6c9112aAe470F85c5cd288188cE365;MODE;ModallionE;no;0
